"ragione_sociale";"partita_iva";"codice_fiscale";"indirizzo";"cap";"citta";"provincia";"nazione";"email";"telefono";"attivo";"note";"fonte_principale";"fonte_secondaria";"evidenza";"robustezza_ragione_sociale";"robustezza_dati_anagrafici";"robustezza_contatti";"da_verificare"
"ELVAL / Hellenic Aluminium Industry S.A.";"EL094061318";"";"Athens-Lamia National Road (57th km)";"32011";"Inofyta Viotias";"";"Greece";"info@elval.com";"+30 22620 53111";"true";"Presente solo in certificati. Più campioni della cartella Metalluminio SP mostrano in realtà certificati ELVAL / Hellenic Aluminium Industry S.A.; il nome cartella sembra riferirsi al cliente/destinatario o a un raggruppamento interno, non al fornitore reale. Il sito ufficiale Elval completa VAT e contatti.";"certificati";"web ufficiale";"Certificati 35298 e 1084345: header ELVAL / Hellenic Aluminium Industry S.A., Athens-Lamia National Road, 32011 Inofyta Viotias, Greece. Sito ufficiale Elval contact: VAT EL094061318, Tel +30 22620 53111, info@elval.com.";"alta";"alta";"alta";"false"
"Ralcom-Impol";"";"";"";"";"";"";"";"";"";"true";"Presente solo in certificati. Il campione letto mostra chiaramente il supplier Impol d.o.o. mentre RALCOM S.R.L. compare come order customer/destinatario. Questa riga non va trattata come fornitore autonomo, ma come caso da spostare in alias o relazione commerciale verso Impol.";"certificati";"";"Certificato 9867/3: header supplier Impol d.o.o., Partizanska ulica 38, 2310 Slovenska Bistrica; RALCOM S.R.L. compare come Order customer con indirizzo Largo Brugnatelli 3 int. 6, 20090 Buccinasco (MI).";"bassa";"bassa";"bassa";"true"
"RALCOM srl";"11785820157";"";"Largo Brugnatelli 3";"20090";"Buccinasco";"MI";"Italy";"";"02 4884 0910";"true";"Presente solo in certificati. Il campione espone chiaramente ragione sociale e indirizzo; web terzo concorda su Largo Brugnatelli 3 come sede, con P.IVA 11785820157 e telefono 02 4884 0910. Manca ancora una fonte ufficiale per email o sito.";"certificati";"web terze parti";"Certificato 0001_201112_2016: RALCOM srl, Largo Brugnatelli 3 int. 6, 20090 Buccinasco (MI). Directory terze concordanti: Largo Brugnatelli 3, P.IVA 11785820157, Tel. 02 4884 0910.";"alta";"alta";"media";"true"
"Airoldi Metalli S.p.A.";"00202890133";"";"Viale Grandi 59";"23847";"Molteno";"LC";"Italy";"info@airoldimetalli.it";"031.3574.111";"true";"Presente solo in certificati. Il certificato espone chiaramente ragione sociale, sede, contatti e P.IVA.";"certificati";"";"Certificato 1300906: Airoldi Metalli S.p.A., Viale Grandi 59, 23847 Molteno (LC), tel. 031.3574.111, email info@airoldimetalli.it, P.IVA IT 00202890133.";"alta";"alta";"alta";"false"
"Alcan Decin";"CZ18380654";"";"Ústecká 37";"405 35";"Děčín";"";"Czech Republic";"";"+420 412 508 201";"true";"Presente solo in certificati. Il nome Alcan Decin appare come denominazione storica del sito di Děčín poi confluito in Constellium Extrusions Děčín s.r.o. Per la staging table uso i dati del sito storico/attuale a Děčín, mantenendo il nome legacy nella ragione sociale.";"certificati";"web legacy + registro";"ALCAN Děčín Extrusions, spol. s r.o.: Ústecká 37, 405 35 Děčín V, IČO 18380654, DIČ CZ18380654. Constellium Decin location: +420 412 508 201.";"media";"alta";"media";"true"
"Alcan Aviatube";"FR40808486732";"";"15 Rue de la Grande Bretagne";"44470";"Carquefou";"";"France";"";"+33 (0)2 40 18 47 00";"true";"Presente solo in certificati. Alcan Aviatube e una denominazione storica: il sito attuale Aviatube usa la sede di Carquefou, mentre documenti storici ambientali riportano anche lo stabilimento di Montreuil-Juigne. Per la staging table mantengo il nome storico ma completo i dati con la societa attuale AVIATUBE.";"certificati";"web ufficiale + registro";"Sito Aviatube contact: 15 rue de Grande-Bretagne, 44470 Carquefou, +33 (0)2 40 18 47 00. Registro: AVIATUBE, SIREN 808486732, TVA FR40808486732. Documento storico georisques: ALCAN AVIATUBE, 6 rue Pierre et Marie Curie, 49460 Montreuil-Juigne.";"media";"alta";"alta";"true"
"Alcan Aluminium Valais SA";"CH-320.3.039.147-8";"";"Route de Laminoirs 1";"3960";"Sierre";"";"Switzerland";"legacy/no public email";"+41 27 457 51 11";"true";"Presente solo in certificati. Il campione espone la societa e la localita svizzera. Le fonti web sono storiche o terze ma coerenti su area Sierre; tratto il record come supplier legacy con contatti storici e identificativo federale svizzero.";"certificati";"registro pubblico + directory storiche";"Certificato 2435541: Alcan Aluminium Valais SA, CH-3960 Sierre. Panjiva: Route de Laminoirs 1, CH-3960 Sierre. Directory storica: tel +41 27 457 51 11. Swiss Federal ID CH-320.3.039.147-8.";"alta";"alta";"media";"false"
"Almet Italia S.r.l.";"00282930379";"";"Via del Carrozzaio 4";"40138";"Bologna";"BO";"Italy";"info@almetitalia.com";"+39 051 535067";"true";"Presente solo in certificati. Il certificato riporta sede legale, P.IVA, email e rete filiali; viene mantenuta la sede legale come anagrafica principale.";"certificati";"";"Certificato 0254770: Almet Italia S.r.l., Via del Carrozzaio 4, 40138 Bologna, P.IVA 00282930379, email info@almetitalia.com, tel. +39 051 535067.";"alta";"alta";"alta";"false"
"Aluminium Laufen AG";"CHE-102.242.106 VAT";"";"Industriestrasse 5";"4253";"Liesberg";"";"Switzerland";"info@aluminium-laufen.com";"+41 (0)61 776 22 22";"true";"Presente solo in certificati. Il certificato storico usa la denominazione Aluminium Laufen AG con localita Laufen; il sito ufficiale attuale identifica la societa come Aluminium Laufen AG Liesberg con indirizzo Industriestrasse 5, 4253 Liesberg e VAT CHE-102.242.106 VAT.";"certificati";"web ufficiale";"Certificato 16768: Aluminium Laufen AG, CH-4253 Laufen, tel. +41 (0)61 776 22 22. Sito ufficiale/imprint: Aluminium Laufen AG Liesberg, Industriestrasse 5, CH-4253 Liesberg, info@aluminium-laufen.com, VAT CHE-102.242.106 VAT.";"alta";"alta";"alta";"false"
"Aviometal S.p.A.";"02411130129";"";"Via Sempione 15";"21010";"Arsago Seprio";"Varese";"Italy";"aviometal@aviometal.com";"0331-279411";"true";"Presente solo in certificati. Il certificato espone chiaramente sede, contatti e P.IVA.";"certificati";"";"Certificato 0175335/A: Aviometal S.p.A., Via Sempione 15, 21010 Arsago Seprio (Varese), tel. 0331-279411, email aviometal@aviometal.com, P.IVA 02411130129.";"alta";"alta";"alta";"false"
"BARATE' S.p.A.";"00837850189";"";"Viale Industria 48";"27025";"Gambolò";"PV";"Italy";"baratespa@pec.barate.it";"0381348955";"true";"Presente solo in certificati. Il certificato mostra nome cartella/denominazione storica, mentre documenti ufficiali pubblicati sul sito riportano BARATÈ SANTINO S.r.l. con stessa sede e P.IVA 00837850189. Da tenere presente per alias/denominazione aggiornata.";"certificati";"";"Certificato 0099: BARATE' S.p.A., Viale Industria 48, 27025 Gambolò (PV). Documenti ufficiali su barate.it: BARATÈ SANTINO S.r.l., P.IVA e C.F. 00837850189.";"media";"alta";"alta";"false"
"Campagnolo";"";"";"";"";"";"";"";"";"";"true";"Presente solo in certificati ma il campione mostra Constellium Extrusions Děčín s.r.o. come fornitore reale. Il nome cartella Campagnolo non va usato come fornitore finale; è più probabile un contesto cliente/progetto.";"certificati";"";"Certificato 10024053/010/003: header Constellium Extrusions Děčín s.r.o.; nessuna evidenza che Campagnolo sia il fornitore.";"bassa";"bassa";"bassa";"true"
"Constellium Extrusions Děčín s.r.o.";"CZ18380654";"";"Ustecka 37";"405 35";"Děčín";"";"Czech Republic";"sales.decin@constellium.com";"+420 412 508 201";"true";"Presente solo in certificati. Il certificato mostra chiaramente la ragione sociale completa, la sede in Repubblica Ceca e i contatti. Il VAT/DIČ e il telefono di stabilimento sono completati con fonti web sul sito Constellium e registro ceco.";"certificati";"web ufficiale + registro";"Certificato 110146510/010/001: Constellium Extrusions Děčín s.r.o., Ustecka 37, CZ 405 35 Děčín, email sales.decin@constellium.com. Sito Constellium Decin: +420 412 508 201. Registro ceco: DIČ/VAT CZ18380654.";"alta";"alta";"alta";"false"
"Eppendorf";"";"";"";"";"";"";"";"";"";"true";"Presente solo in certificati ma il campione mostra chiaramente Eppendorf come buyer/destinatario e Arconic Extrusions Hannover come fornitore reale. Questa riga non va importata come fornitore finale; va trattata come alias/contesto cliente.";"certificati";"";"Certificato EEP68522-43593818: header Arconic Extrusions Hannover / Arconic Extrusions Hannover GmbH; buyer Eppendorf Zentrifugen GmbH.";"bassa";"bassa";"bassa";"true"
"EURAL GNUTTI S.p.A.";"00566100988";"";"Via S. Andrea 3";"25038";"Rovato";"BS";"Italy";"eural@eural.com";"+39 030 7725011";"true";"Presente nei certificati come brand EURAL con ragione sociale GNUTTI S.p.A. Il sito ufficiale usa la forma EURAL GNUTTI S.p.A.; per il DB corrente questa e la forma consigliata, mentre EURAL resta alias/marchio.";"web ufficiale";"certificati";"Sito ufficiale EURAL: Factory/Sales EURAL GNUTTI S.p.A., Via S. Andrea 3, 25038 Rovato (Brescia), Tel. +39 030 7725011, P.IVA 00566100988, eural@eural.com. Certificato 4204150001 mostra header EURAL / GNUTTI S.p.A.";"alta";"alta";"alta";"false"
"Hydro Extrusion Italy S.R.L.";"05634160963";"";"Viale Lombardia 53";"20876";"Ornago";"MB";"Italy";"contact form Hydro Ornago";"02966581";"true";"Presente solo in certificati. Alias cartella: Hydro Extrusion Italy - Sapa Feltre. Il campione mostra ragione sociale, P.IVA, telefono e una sede di Ornago; il sito ufficiale Hydro Ornago mostra oggi Hydro Extrusion Italy s.r.l. in Via A. Ciucani 8 con contatto web ma senza e-mail pubblica diretta.";"certificati";"web ufficiale";"Certificato 619409: header Hydro Extrusion Italy S.R.L., Viale Lombardia 53, 20876 Ornago (MB), tel. 02966581, P.IVA 05634160963. Sito ufficiale Hydro Ornago: Hydro Extrusion Italy s.r.l., Via A. Ciucani 8, 20876 Ornago (MB), contatto via form web.";"alta";"alta";"media";"false"
"Hydro Aluminium AS, Hydro Husnes";"917537534";"";"Onarheimsvegen 54";"5460";"Husnes";"";"Norway";"";"+47 53 47 52 00";"true";"Presente nei certificati come producer Hydro Aluminium AS, Hydro Husnes. La pagina ufficiale Hydro Husnes conferma Onarheimsvegen 54, N-5460 Husnes; il registro norvegese completa org.nr. 917 537 534 e telefono dello stabilimento.";"certificati";"web ufficiale + registro";"Certificato 1853320 pagina 2: Producer = Hydro Aluminium AS, Hydro Husnes, Onarheimsvegen 54, 5460 Husnes. Hydro/Proff: org.nr 917537534, tel +47 53 47 52 00.";"alta";"alta";"alta";"false"
"ALCOA SMZ";"6310000160";"";"29 Alma-Atinskaya ul.";"443051";"Samara";"";"Russian Federation";"info.smz@samara-metallurg.ru";"+7 846 278-34-35";"true";"Presente solo in certificati. I campioni letti nella cartella Lukas mostrano in realtà certificati ALCOA SMZ; il nome cartella non sembra essere il fornitore reale. Per i contatti correnti ho usato fonti pubbliche del successore o denominazione attuale Samarskiy Metallurgicheskiy Zavod (SMZ); quindi email e telefono vanno letti come contatti correnti del sito, non come prova diretta del naming storico Alcoa.";"certificati";"fonte tecnica pubblica";"Certificati 03-1412 e 03-663: header ALCOA SMZ, 29 Alma-Atinskaya ul., 443051 Samara, Russian Federation. Fonte pubblica SMZ/Aluminium Association: +7 846 278-34-35, info.smz@samara-metallurg.ru; portale lavoro Samara: INN 6310000160.";"alta";"alta";"media";"false"
"Rondal";"";"";"";"";"";"";"";"";"";"true";"Presente solo in certificati. Il campione 22_2011 non mostra Rondal come supplier: l'intestazione leggibile e FORGIALLUMINIO 3 SRL, Via Enrico Fermi 2, 32034 Pedavena (BL), mentre il documento riporta anche Slov. Bistrica. La cartella sembra quindi riferirsi a contesto cliente/progetto e non a un fornitore autonomo gia consolidabile.";"certificati";"";"Certificato 22_2011: header FORGIALLUMINIO 3 SRL, Via Enrico Fermi 2, 32034 Pedavena (BL), Italy; packing list no. 22; localita Slov. Bistrica; nessun header Rondal leggibile.";"bassa";"bassa";"bassa";"true"
"Aluminium Lend Gesellschaft m.b.H.";"ATU36871601";"";"Lend 25";"5651";"Lend";"";"Austria";"aluminium.lend@sag.at";"+43 (0) 6416 6500-230";"true";"Presente solo in certificati. Il certificato espone chiaramente nome societa, localita, telefono ed email. Il sito SAG attuale usa il contatto di gruppo di Lend; il VAT e l'indirizzo completo sono stati completati dal registro/contesto ufficiale di sede austriaca.";"certificati";"web ufficiale";"Certificato VP-96677: Aluminium Lend Gesellschaft m.b.H., Lend, Austria, tel. +43 (0)6416 6500-230, email aluminium.lend@sag.at. Sito SAG contact: Lend 25, 5651 Lend.";"alta";"alta";"alta";"false"
"Tau Metalli s.r.l.";"04175380981";"";"Via del Ferro (Zona Averolda)";"25039";"Travagliato";"BS";"Italy";"info@taumetalli.it";"+39 030 686 9411";"true";"Presente nei certificati storici con forme legali diverse (SPA nei campioni 2010-2015, SRL societa unipersonale nel certificato 2023). Il sito ufficiale conferma oggi Tau Metalli s.r.l. a Travagliato con contatti web attuali; per il DB corrente questa e la forma consigliata, mantenendo nota della denominazione storica nei certificati.";"web ufficiale";"certificati";"Sito ufficiale Tau Metalli: Via del Ferro (Zona Averolda), 25039 Travagliato (BS), C.F. e P.IVA 04175380981, info@taumetalli.it, +39 030 686 9411. Certificati 2010-2025 mostrano TAU METALLI SPA/SRL a seconda dell'anno.";"alta";"alta";"alta";"false"
